A1 should do:
 Day:0 Time:8:02 seletced:M1 ,time when there:Day:0 Time:8:03 time to travel:2
 Connection(from:Base to:M1): Direct connection distance:273.0m
Day:0 Time:15:28 Completed on M2 %0.69
Day:0 Time:15:29 Completed on M2 %0.7
Day:0 Time:15:30 Completed on M2 %0.7
Day:0 Time:15:31 Completed on M2 %0.7
Day:0 Time:15:32 Completed on M2 %0.7
Day:0 Time:15:33 Completed on M2 %0.7
Day:0 Time:15:34 Completed on M2 %0.7
Day:0 Time:15:35 Completed on M2 %0.7
Day:0 Time:15:36 Completed on M2 %0.69
Day:0 Time:15:37 Completed on M2 %0.7
Day:0 Time:15:38 Completed on M2 %0.69
Day:0 Time:15:39 Completed on M2 %0.7
Day:0 Time:15:40 Completed on M2 %0.7
Day:0 Time:15:41 Completed on M2 %0.7
Day:0 Time:15:42 Completed on M2 %0.69
Day:0 Time:15:43 Completed on M2 %0.7
Day:0 Time:15:44 Completed on M2 %0.7
Day:0 Time:15:45 Completed on M2 %0.69
Day:0 Time:15:46 Completed on M2 %0.7
Day:0 Time:15:47 Completed on M2 %0.7
Day:0 Time:15:48 Completed on M2 %0.69
Day:0 Time:15:49 Completed on M2 %0.7
Day:0 Time:15:50 Completed on M2 %0.7
Day:0 Time:15:51 Completed on M2 %0.7
Day:0 Time:15:52 Completed on M2 %0.71
Day:0 Time:15:53 Completed on M2 %0.7
Day:0 Time:15:54 Completed on M2 %0.71
Day:0 Time:15:55 Completed on M2 %0.7
Day:0 Time:15:56 Completed on M2 %0.69
Day:0 Time:15:57 Completed on M2 %0.7
Day:0 Time:15:58 Completed on M2 %0.7
Day:0 Time:15:59 Completed on M2 %0.7
Day:0 Time:16:00 Completed on M2 %0.7
Day:0 Time:16:01 Completed on M2 %0.7
Day:0 Time:16:02 Completed on M2 %0.7
Day:0 Time:16:03 Completed on M2 %0.7
Day:0 Time:16:04 Completed on M2 %0.7
Day:0 Time:16:05 Completed on M2 %0.7
Day:0 Time:16:06 Completed on M2 %0.7
Day:0 Time:16:07 Completed on M2 %0.7
Day:0 Time:16:08 Completed on M2 %0.7
